section name,section type,size
.text.__sfp_lock_acquire,text,12
.text.__sfp_lock_release,text,12
.text.__sinit_lock_acquire,text,12
.text.__sinit_lock_release,text,12
.text.__sinit,text,80
.text.__sfp,text,140
.text.__sflags,text,108
.text._fopen_r,text,168
.text.fopen,text,16
.text._fputc_r,text,70
.text.fputc,text,16
.text.__fputwc,text,130
.text._fputwc_r,text,82
.text._fread_r,text,212
.text.fread,text,28
.text._fseek_r,text,4
.text.fseek,text,20
.text._fseeko_r,text,664
.text.ftell,text,16
.text._ftello_r,text,192
.text.__sfvwrite_r,text,660
.text._fwalk,text,60
.text._fwalk_reent,text,64
.text._fwrite_r,text,156
.text.fwrite,text,28
.text.rshift,text,166
.text.__hexdig_fun,text,42
.text.__gethex,text,1108
.text.L_shift,text,36
.text.__match,text,40
.text.__hexnan,text,312
.text.getenv,text,24
.text._findenv_r,text,116
.text._getenv_r,text,14
.text.__gettzinfo,text,8
.text.gmtime,text,16
.text.gmtime_r,text,412
.rodata._global_impure_ptr,rodata,4
.text.iswspace,text,6
.text.iswspace_l,text,20
.text.__itoa,text,48
.text.itoa,text,4
.rodata.str1.1,rodata,51721
.rodata._C_numeric_locale,rodata,12
.rodata._setlocale_r.str1.1,rodata,6
.text.__locale_mb_cur_max,text,12
.text._localeconv_r,text,8
.text.__retarget_lock_init_recursive,text,2
.text.__retarget_lock_close_recursive,text,2
.text.__retarget_lock_acquire,text,2
.text.__retarget_lock_acquire_recursive,text,2
.text.__retarget_lock_release,text,2
.text.__retarget_lock_release_recursive,text,2
.text.__swhatbuf_r,text,86
.text.__smakebuf_r,text,124
.rodata._mbrtowc_r.str1.1,rodata,1
.text._mbrtowc_r,text,52
.text.__ascii_mbtowc,text,36
.text.memcmp,text,92
.text.memcpy,text,200
.text.critical_factorization,text,188
.text.two_way_long_needle,text,1136
.text.memmem,text,432
.text.memmove,text,212
.text.memset,text,168
.text.validate_structure,text,412
.text.mktime,text,800
.rodata.DAYS_IN_MONTH,rodata,48
.rodata._DAYS_BEFORE_MONTH,rodata,48
.rodata.__month_lengths,rodata,96
.text._Balloc,text,72
.text._Bfree,text,18
.text.__multadd,text,124
.text.__s2b,text,136
.text.__hi0bits,text,64
.text.__lo0bits,text,92
.text.__i2b,text,18
.text.__multiply,text,310
.text.__pow5mult,text,128
.text.__lshift,text,190
.text.__mcmp,text,54
.text.__mdiff,text,236
.text.__ulp,text,88
.text.__b2d,text,160
.text.__d2b,text,164
.text.__ratio,text,100
.text.__copybits,text,70
.text.__any_on,text,66
.rodata.__mprec_bigtens,rodata,40
.rodata.__mprec_tens,rodata,200
.rodata.p05.7382,rodata,12
.rodata._perror_r.str1.1,rodata,40
.text._perror_r,text,252
.text.perror,text,16
.text.printf,text,36
.text._putc_r,text,104
.rodata._puts_r.str1.1,rodata,50
.text._puts_r,text,140
.text.puts,text,16
.text.swapfunc,text,50
.text.med3.isra.0,text,64
.text.qsort,text,694
.text.srand,text,20
.text.rand,text,60
.text.cleanup_glue,text,22
.text._reclaim_reent,text,124
.text.lflush,text,18
.text.__srefill_r,text,260
.text.frexp,text,112
.text.nan,text,16
.text.__sccl,text,116
.text.nanf,text,12
.text.siscanf,text,84
.text.snprintf,text,104
.text.sprintf,text,64
.text.sscanf,text,84
.text.__sread,text,38
.text.__seofread,text,4
.text.__swrite,text,50
.text.__sseek,text,40
.text.__sclose,text,8
.text.strcasecmp,text,68
.text.strcat,text,64
.text.strchr,text,208
.text.strcpy,text,196
.text.strcspn,text,48
.text.strdup,text,16
.text._strdup_r,text,36
.rodata._strerror_r.str1.4,rodata,1792
.text._strerror_r,text,1132
.text.strerror,text,20
.text.strncasecmp,text,84
.text.strncat,text,92
.text.strncmp,text,132
.text.strncpy,text,116
.text.strndup,text,20
.text._strndup_r,text,64
.text.strnlen,text,44
.text.strnstr,text,60
.text.strrchr,text,36
.text.strspn,text,48
.text.strstr,text,400
.text.sulp,text,52
.rodata._strtod_l.str1.1,rodata,50
.text._strtod_l,text,2956
.text._strtod_r,text,12
.rodata.fpi.7542,rodata,20
.rodata.fpinan.7578,rodata,20
.rodata.tinytens,rodata,40
.text.strtok,text,20
.text.__strtok_r,text,112
.text._strtol_l.isra.0,text,236
.text._strtol_r,text,4
.text.strtol,text,20
.text._strtoll_l.isra.0,text,300
.text._strtoll_r,text,4
.text.strtoll,text,20
.text._strtoul_l.isra.0,text,244
.text._strtoul_r,text,4
.text.strtoul,text,20
.text._strtoull_l.isra.0,text,308
.text._strtoull_r,text,4
.text.__ssprint_r,text,234
.text._sungetc_r,text,122
.text.__ssrefill_r,text,58
.text._sfread_r,text,122
.text.__ssvfiscanf_r,text,3856
.rodata.basefix.8180,rodata,34
.rodata._svfprintf_r.str1.1,rodata,46
.text._svfprintf_r,text,4884
.rodata.blanks.8609,rodata,16
.rodata.zeroes.8610,rodata,16
.rodata.__ssvfscanf_r.str1.1,rodata,5
.text.__ssvfscanf_r,text,4796
.rodata.basefix.8678,rodata,34
.text.time,text,38
.text.__tzcalc_limits,text,340
.text.__tz_lock,text,12
.text.__tz_unlock,text,12
.text._tzset_unlocked,text,12
.rodata._tzset_unlocked_r.str1.1,rodata,56
.text._tzset_unlocked_r,text,772
.text._user_strerror,text,4
.text.__submore,text,112
.rodata.__utoa.str1.1,rodata,37
.text.__utoa,text,120
.text.__sprint_r,text,104
.rodata._vfprintf_r.str1.1,rodata,59
.text._vfprintf_r,text,5072
.text.__sbprintf,text,128
.rodata.blanks.8624,rodata,16
.rodata.zeroes.8625,rodata,16
.text._vsnprintf_r,text,88
.text.vsnprintf,text,28
.text.__swbuf_r,text,146
.text._wcrtomb_r,text,44
.text.__ascii_wctomb,text,26
.text.__swsetup_r,text,176
.text.__xpg_strerror_r,text,100
.text.quec_modem_active_req,text,272
.text.quec_modem_attach_rsp,text,104
.text.quec_modem_active_rsp,text,128
.text.quec_modem_attach_notification,text,84
.text.quec_get_NAT_wan_NetIf,text,96
.text.quec_getAvailableNetIfBySIMCID,text,88
.text.quec_check_netif_exist_or_available,text,228
.text.quec_check_gprs_pdp_state,text,332
.text.quec_try_to_active_pdp_context_by_cid,text,216
.rodata.__FUNCTION__.16220,rodata,31
.rodata.__FUNCTION__.16229,rodata,23
.rodata.__FUNCTION__.16239,rodata,31
.rodata.__FUNCTION__.16257,rodata,49
.rodata.__FUNCTION__.16263,rodata,22
.rodata.__FUNCTION__.16275,rodata,22
.rodata.__FUNCTION__.16282,rodata,76
.rodata.__FUNCTION__.16288,rodata,26
.rodata.__FUNCTION__.16300,rodata,38
.rodata.quec_check_gprs_pdp_state.str1.1,rodata,189
.rodata.quec_check_netif_exist_or_available.str1.1,rodata,77
.rodata.quec_get_NAT_wan_NetIf.str1.1,rodata,27
.rodata.quec_modem_active_req.str1.1,rodata,160
.rodata.quec_modem_attach_notification.str1.1,rodata,33
.rodata.quec_modem_attach_rsp.str1.1,rodata,52
.rodata.quec_try_to_active_pdp_context_by_cid.str1.1,rodata,81
.text.quec_usbnet_connect_enable_with_cid,text,104
.text.quec_usbnet_connect_netif_get,text,12
.text.quec_usbnet_connect_netif_find,text,152
.text.quec_usbnet_wan_netif_get,text,12
.text.quec_usbnet_connect_ctx_init,text,28
.text.quec_usbnet_urc,text,72
.text.quec_usbnet_send_osi_event_set_if,text,36
.text.quec_usbnet_sendevent,text,48
.text.quec_usbnet_retry_or_reinit,text,80
.text.quec_netdev_timer_callback,text,64
.text.quec_netdevctl_cfg_save,text,76
.text.quec_exec_qnetdevctl_cmd,text,460
.text.quec_do_usbnetdev_active_up,text,336
.text.quec_usbnet_up,text,148
.text.quec_usbnet_down,text,68
.text.quec_usbnet_port_connect,text,56
.text.quec_usbnet_port_disconnect,text,76
.text.quec_netdev_thread,text,540
.text.quec_netdev_init,text,48
.rodata.__FUNCTION__.15803,rodata,36
.rodata.__FUNCTION__.15816,rodata,31
.rodata.__FUNCTION__.15854,rodata,24
.rodata.__FUNCTION__.15869,rodata,25
.rodata.__FUNCTION__.15875,rodata,28
.rodata.__FUNCTION__.15885,rodata,15
.rodata.__FUNCTION__.15890,rodata,17
.rodata.__FUNCTION__.15894,rodata,25
.rodata.__FUNCTION__.15900,rodata,51
.rodata.__FUNCTION__.15904,rodata,27
.rodata.__FUNCTION__.15910,rodata,19
.rodata.quec_do_usbnetdev_active_up.str1.1,rodata,126
.rodata.quec_exec_qnetdevctl_cmd.str1.1,rodata,132
.rodata.quec_netdev_init.str1.1,rodata,8
.rodata.quec_netdev_thread.str1.1,rodata,164
.rodata.quec_netdev_timer_callback.str1.1,rodata,34
.rodata.quec_netdevctl_cfg_save.str1.1,rodata,60
.rodata.quec_usbnet_connect_enable_with_cid.str1.1,rodata,67
.rodata.quec_usbnet_connect_netif_find.str1.1,rodata,67
.rodata.quec_usbnet_down.str1.1,rodata,32
.rodata.quec_usbnet_port_connect.str1.1,rodata,38
.rodata.quec_usbnet_port_disconnect.str1.1,rodata,41
.rodata.quec_usbnet_up.str1.1,rodata,63
.rodata.quec_usbnet_urc.str1.1,rodata,19
.text.ql_bt_audio_msg_process,text,128
.text.ql_bt_init,text,64
.text.ql_bt_send_msg_btAud_task,text,128
.text.ql_bt_audio_init,text,60
.text.ql_bt_register_cb,text,76
.text.ql_bt_sys_err_to_ql_error,text,24
.text.ql_bt_sys_abs_err_to_ql_error,text,12
.text.ql_bt_ble_is_using,text,16
.text.ql_bt_ble_is_inited,text,4
.text.ql_bt_spp_release,text,12
.text.ql_ble_gatt_server_release,text,44
.text.ql_ble_gatt_client_release,text,40
.text.ql_bt_hfp_release,text,32
.text.ql_bt_a2dp_avrcp_release,text,36
.text.ql_bt_start,text,168
.text.ql_bt_stop,text,176
.text.ql_bt_get_state,text,84
.text.ql_classic_bt_set_scanmode,text,248
.text.ql_classic_bt_get_scanmode,text,112
.text.ql_bt_ble_set_localname_protocol,text,328
.text.ql_bt_ble_set_localname,text,112
.text.ql_bt_ble_get_localname,text,236
.text.quec_bt_ble_read_name_and_set,text,112
.text.ql_bt_msg_process,text,500
.text.ql_bt_ble_set_addr,text,196
.text.quec_bt_ble_set_addr_unisoc_nv,text,34
.text.ql_classic_bt_get_localaddr,text,68
.text.ql_classic_bt_connect,text,180
.text.ql_classic_bt_disconnect,text,136
.text.ql_classic_bt_get_connection,text,92
.text.ql_classic_bt_start_inquiry,text,312
.text.ql_classic_bt_cancel_inquiry,text,148
.text.ql_classic_bt_start_bond,text,164
.text.ql_classic_bt_cancel_bond,text,164
.text.ql_classic_bt_get_bond_info,text,48
.text.ql_classic_bt_remove_typical_bond_device,text,176
.text.ql_classic_bt_remove_all_bond_device,text,244
.text.ql_classic_bt_spp_send,text,12
.text.ql_ble_get_version,text,96
.text.ql_ble_get_public_addr,text,128
.text.ql_ble_set_public_addr,text,18
.text.ql_bt_ble_profile_init,text,528
.text.ql_bt_spp_init,text,84
.text.ql_ble_gatt_server_init,text,116
.text.ql_ble_gatt_client_init,text,116
.text.ql_bt_hfp_init,text,100
.text.ql_bt_a2dp_avrcp_init,text,124
.text.ql_ble_get_random_addr,text,128
.text.ql_ble_add_public_whitelist,text,196
.text.ql_ble_add_random_whitelist,text,188
.text.ql_ble_get_whitelist_info,text,236
.text.ql_ble_remove_whitelist,text,192
.text.ql_ble_clean_whitelist,text,156
.text.ql_ble_conncet_public_addr,text,192
.text.ql_ble_conncet_random_addr,text,192
.text.ql_ble_cancel_connect,text,164
.text.ql_ble_disconnect,text,196
.text.ql_ble_get_connection_state,text,56
.text.ql_ble_update_conn_param,text,268
.text.ql_bleadv_set_typical_addr_param,text,588
.text.ql_bleadv_get_typical_addr_param,text,28
.text.ql_bleadv_set_param,text,600
.text.ql_bleadv_get_param,text,20
.text.ql_bleadv_set_data,text,276
.text.ql_bleadv_set_scan_rsp_data,text,276
.text.ql_ble_set_ibeacon_data,text,188
.text.ql_ble_write_ibeacon_cfg,text,72
.text.ql_ble_read_ibeacon_cfg,text,124
.text.ql_bleadv_start,text,148
.text.ql_bleadv_stop,text,108
.text.ql_bleadv_get_state,text,16
.text.ql_blescan_set_param,text,384
.text.ql_blescan_get_param,text,20
.text.ql_blescan_start,text,164
.text.ql_blescan_stop,text,180
.text.ql_blescan_get_state,text,16
.rodata,rodata,6561
.rodata.CSWTCH.65,rodata,316
.rodata.CSWTCH.78,rodata,3
.rodata.CSWTCH.79,rodata,3
.rodata.__FUNCTION__.12470,rodata,30
.rodata.__FUNCTION__.12475,rodata,18
.rodata.__FUNCTION__.12506,rodata,26
.rodata.__FUNCTION__.12513,rodata,24
.rodata.__FUNCTION__.12528,rodata,18
.rodata.__FUNCTION__.12591,rodata,29
.rodata.__FUNCTION__.12595,rodata,23
.rodata.__FUNCTION__.12603,rodata,15
.rodata.__FUNCTION__.12612,rodata,24
.rodata.__FUNCTION__.12620,rodata,24
.rodata.__FUNCTION__.12632,rodata,15
.rodata.__FUNCTION__.12640,rodata,22
.rodata.__FUNCTION__.12647,rodata,12
.rodata.__FUNCTION__.12652,rodata,11
.rodata.__FUNCTION__.12656,rodata,16
.rodata.__FUNCTION__.12664,rodata,27
.rodata.__FUNCTION__.12675,rodata,27
.rodata.__FUNCTION__.12682,rodata,33
.rodata.__FUNCTION__.12686,rodata,24
.rodata.__FUNCTION__.12691,rodata,24
.rodata.__FUNCTION__.12697,rodata,19
.rodata.__FUNCTION__.12711,rodata,28
.rodata.__FUNCTION__.12718,rodata,22
.rodata.__FUNCTION__.12723,rodata,25
.rodata.__FUNCTION__.12730,rodata,29
.rodata.__FUNCTION__.12737,rodata,28
.rodata.__FUNCTION__.12760,rodata,29
.rodata.__FUNCTION__.12767,rodata,25
.rodata.__FUNCTION__.12774,rodata,26
.rodata.__FUNCTION__.12780,rodata,28
.rodata.__FUNCTION__.12787,rodata,41
.rodata.__FUNCTION__.12794,rodata,37
.rodata.__FUNCTION__.12809,rodata,19
.rodata.__FUNCTION__.12815,rodata,23
.rodata.__FUNCTION__.12824,rodata,23
.rodata.__FUNCTION__.12830,rodata,28
.rodata.__FUNCTION__.12836,rodata,28
.rodata.__FUNCTION__.12845,rodata,26
.rodata.__FUNCTION__.12861,rodata,24
.rodata.__FUNCTION__.12866,rodata,23
.rodata.__FUNCTION__.12872,rodata,27
.rodata.__FUNCTION__.12878,rodata,27
.rodata.__FUNCTION__.12886,rodata,22
.rodata.__FUNCTION__.12892,rodata,18
.rodata.__FUNCTION__.12897,rodata,28
.rodata.__FUNCTION__.12903,rodata,25
.rodata.__FUNCTION__.12913,rodata,33
.rodata.__FUNCTION__.12933,rodata,20
.rodata.__FUNCTION__.12950,rodata,19
.rodata.__FUNCTION__.12960,rodata,28
.rodata.__FUNCTION__.12974,rodata,24
.rodata.__FUNCTION__.12978,rodata,25
.rodata.__FUNCTION__.12983,rodata,24
.rodata.__FUNCTION__.12988,rodata,16
.rodata.__FUNCTION__.12993,rodata,15
.rodata.__FUNCTION__.13004,rodata,21
.rodata.__FUNCTION__.13013,rodata,17
.rodata.__FUNCTION__.13018,rodata,16
.rodata.ql_ble_conncet_public_addr.str1.1,rodata,34
.rodata.ql_ble_disconnect.str1.1,rodata,33
.rodata.ql_ble_get_whitelist_info.str1.1,rodata,131
.rodata.ql_ble_read_ibeacon_cfg.str1.1,rodata,50
.rodata.ql_ble_update_conn_param.str1.1,rodata,113
.rodata.ql_ble_write_ibeacon_cfg.str1.1,rodata,31
.rodata.ql_bleadv_set_data.str1.1,rodata,127
.rodata.ql_bleadv_set_param.str1.1,rodata,111
.rodata.ql_bleadv_set_scan_rsp_data.str1.1,rodata,53
.rodata.ql_bleadv_set_typical_addr_param.str1.1,rodata,434
.rodata.ql_blescan_set_param.str1.1,rodata,266
.rodata.ql_bt_a2dp_avrcp_init.str1.1,rodata,42
.rodata.ql_bt_audio_init.str1.1,rodata,9
.rodata.ql_bt_audio_msg_process.str1.1,rodata,25
.rodata.ql_bt_ble_get_localname.str1.1,rodata,226
.rodata.ql_bt_ble_profile_init.str1.1,rodata,277
.rodata.ql_bt_ble_send_event.str1.1,rodata,38
.rodata.ql_bt_ble_set_addr.str1.1,rodata,129
.rodata.ql_bt_ble_set_localname.str1.1,rodata,32
.rodata.ql_bt_ble_set_localname_protocol.str1.1,rodata,161
.rodata.ql_bt_get_state.str1.1,rodata,28
.rodata.ql_bt_init.str1.1,rodata,13
.rodata.ql_bt_msg_process.str1.1,rodata,106
.rodata.ql_bt_register_cb.str1.1,rodata,35
.rodata.ql_bt_send_msg_btAud_task.str1.1,rodata,86
.rodata.ql_bt_start.str1.1,rodata,125
.rodata.ql_bt_stop.str1.1,rodata,50
.rodata.ql_classic_bt_cancel_inquiry.str1.1,rodata,30
.rodata.ql_classic_bt_connect.str1.1,rodata,81
.rodata.ql_classic_bt_get_scanmode.str1.1,rodata,35
.rodata.ql_classic_bt_remove_all_bond_device.str1.1,rodata,81
.rodata.ql_classic_bt_set_scanmode.str1.1,rodata,134
.rodata.ql_classic_bt_start_inquiry.str1.1,rodata,45
.rodata.quec_bt_ble_read_name_and_set.str1.1,rodata,38
.text.ql_auPipePlayerDelete,text,26
.text.ql_bt_a2dp_audio_stream_callback,text,104
.text.ql_bt_a2dp_send_event,text,56
.text.ql_bt_a2dp_audio_config_callback,text,120
.text.quec_bt_a2dp_send_event,text,64
.text.ql_bt_a2dp_audio_state_callback,text,268
.text.ql_bt_a2dp_connection_state_callback,text,184
.text.ql_bt_a2dp_connection_state_get,text,12
.text.ql_get_bt_specific_protocol_state,text,20
.text.ql_bt_a2dp_stop,text,76
.text.ql_bt_a2dp_int_cb_init,text,60
.text.ql_bt_a2dp_pthread_init,text,20
.text.ql_bt_a2dp_disconnect,text,100
.text.ql_bt_a2dp_get_addr,text,20
.text.ql_bt_a2dp_msg_handle,text,124
.rodata.__FUNCTION__.12014,rodata,22
.rodata.__FUNCTION__.12031,rodata,34
.rodata.__FUNCTION__.12055,rodata,33
.rodata.__FUNCTION__.12062,rodata,33
.rodata.__FUNCTION__.12069,rodata,32
.rodata.__FUNCTION__.12077,rodata,37
.rodata.__FUNCTION__.12092,rodata,22
.rodata.__FUNCTION__.12101,rodata,22
.rodata.ql_bt_a2dp_audio_config_callback.str1.1,rodata,56
.rodata.ql_bt_a2dp_audio_state_callback.str1.1,rodata,57
.rodata.ql_bt_a2dp_audio_stream_callback.str1.1,rodata,40
.rodata.ql_bt_a2dp_connection_state_callback.str1.1,rodata,70
.rodata.ql_bt_a2dp_disconnect.str1.1,rodata,115
.rodata.ql_bt_a2dp_msg_handle.str1.1,rodata,98
.rodata.ql_bt_a2dp_send_event.str1.1,rodata,37
.text.ql_bt_avrcp_send_event,text,56
.text.ql_bt_avrcp_volume_changed_callback,text,116
.text.quec_bt_avrcp_send_event,text,64
.text.ql_bt_avrcp_connection_state_callback,text,136
.text.ql_bt_avrcp_connection_state_get,text,12
.text.ql_bt_avrcp_stop,text,28
.text.ql_bt_avrcp_start,text,164
.text.ql_bt_avrcp_pause,text,168
.text.ql_bt_avrcp_previ,text,172
.text.ql_bt_avrcp_next,text,172
.text.ql_bt_avrcp_play_state_get,text,60
.text.ql_bt_avrcp_vol_set,text,240
.text.ql_bt_avrcp_vol_get,text,128
.text.ql_bt_avrcp_msg_handler,text,88
.text.ql_bt_avrcp_init,text,40
.text.ql_bt_avrcp_pthread_init,text,20
.rodata.__FUNCTION__.12348,rodata,23
.rodata.__FUNCTION__.12363,rodata,38
.rodata.__FUNCTION__.12369,rodata,36
.rodata.__FUNCTION__.12383,rodata,18
.rodata.__FUNCTION__.12388,rodata,18
.rodata.__FUNCTION__.12393,rodata,18
.rodata.__FUNCTION__.12398,rodata,17
.rodata.__FUNCTION__.12402,rodata,27
.rodata.__FUNCTION__.12410,rodata,20
.rodata.__FUNCTION__.12415,rodata,20
.rodata.__FUNCTION__.12422,rodata,24
.rodata.ql_bt_avrcp_connection_state_callback.str1.1,rodata,73
.rodata.ql_bt_avrcp_msg_handler.str1.1,rodata,62
.rodata.ql_bt_avrcp_next.str1.1,rodata,69
.rodata.ql_bt_avrcp_pause.str1.1,rodata,71
.rodata.ql_bt_avrcp_previ.str1.1,rodata,71
.rodata.ql_bt_avrcp_send_event.str1.1,rodata,38
.rodata.ql_bt_avrcp_start.str1.1,rodata,143
.rodata.ql_bt_avrcp_vol_get.str1.1,rodata,75
.rodata.ql_bt_avrcp_vol_set.str1.1,rodata,75
.rodata.ql_bt_avrcp_volume_changed_callback.str1.1,rodata,38
.text.ql_bt_hfp_cmd_response_callback,text,36
.text.quec_bt_hfp_check,text,232
.text.quec_bt_hfp_return,text,76
.text.quec_bt_hfp_answer_reject_call,text,148
.text.quec_bt_hfp_vr_en_disable,text,108
.text.ql_bt_hfp_send_event,text,56
.text.ql_bt_hfp_volume_change_callback,text,156
.text.quec_bt_hfp_send_event,text,64
.text.ql_bt_hfp_codec_type_callback,text,140
.text.ql_bt_hfp_ring_indication_callback,text,116
.text.ql_bt_hfp_network_type_callback,text,100
.text.ql_bt_hfp_network_state_callback,text,100
.text.ql_bt_hfp_network_signal_callback,text,100
.text.ql_bt_hfp_battery_level_callback,text,96
.text.ql_bt_hfp_callheld_callback,text,96
.text.ql_bt_hfp_callsetup_callback,text,152
.text.ql_bt_hfp_call_callback,text,152
.text.ql_bt_hfp_audio_state_callback,text,96
.text.ql_bt_hfp_connection_state_callback,text,184
.text.ql_bt_hfp_connect,text,44
.text.ql_bt_hfp_disconnect,text,44
.text.ql_bt_hfp_set_volume,text,188
.text.ql_bt_hfp_reject_call,text,20
.text.ql_bt_hfp_answer_accept_call,text,20
.text.ql_bt_hfp_answer_reject_call,text,20
.text.ql_bt_hfp_dial,text,152
.text.ql_bt_hfp_redial,text,100
.text.ql_bt_hfp_vr_enable,text,20
.text.ql_bt_hfp_vr_disable,text,20
.text.ql_bt_hfp_ctrl_three_way_call,text,40
.text.ql_bt_hfp_int_cb_init,text,60
.text.ql_bt_hfp_pthread_init,text,12
.rodata.__FUNCTION__.11420,rodata,21
.rodata.__FUNCTION__.11432,rodata,36
.rodata.__FUNCTION__.11437,rodata,31
.rodata.__FUNCTION__.11443,rodata,33
.rodata.__FUNCTION__.11450,rodata,67
.rodata.__FUNCTION__.11455,rodata,29
.rodata.__FUNCTION__.11460,rodata,28
.rodata.__FUNCTION__.11465,rodata,33
.rodata.__FUNCTION__.11470,rodata,34
.rodata.__FUNCTION__.11475,rodata,33
.rodata.__FUNCTION__.11480,rodata,32
.rodata.__FUNCTION__.11485,rodata,68
.rodata.__FUNCTION__.11491,rodata,72
.rodata.__FUNCTION__.11496,rodata,30
.rodata.__FUNCTION__.11513,rodata,18
.rodata.__FUNCTION__.11519,rodata,19
.rodata.__FUNCTION__.11536,rodata,21
.rodata.__FUNCTION__.11544,rodata,31
.rodata.__FUNCTION__.11561,rodata,15
.rodata.__FUNCTION__.11570,rodata,17
.rodata.__FUNCTION__.11577,rodata,26
.rodata.ql_bt_hfp_battery_level_callback.str1.1,rodata,29
.rodata.ql_bt_hfp_callsetup_callback.str1.1,rodata,49
.rodata.ql_bt_hfp_cmd_response_callback.str1.1,rodata,30
.rodata.ql_bt_hfp_codec_type_callback.str1.1,rodata,78
.rodata.ql_bt_hfp_connect.str1.1,rodata,9
.rodata.ql_bt_hfp_connection_state_callback.str1.1,rodata,54
.rodata.ql_bt_hfp_ctrl_three_way_call.str1.1,rodata,11
.rodata.ql_bt_hfp_dial.str1.1,rodata,66
.rodata.ql_bt_hfp_disconnect.str1.1,rodata,12
.rodata.ql_bt_hfp_network_signal_callback.str1.1,rodata,39
.rodata.ql_bt_hfp_network_state_callback.str1.1,rodata,29
.rodata.ql_bt_hfp_redial.str1.1,rodata,7
.rodata.ql_bt_hfp_ring_indication_callback.str1.1,rodata,30
.rodata.ql_bt_hfp_send_event.str1.1,rodata,46
.rodata.ql_bt_hfp_set_volume.str1.1,rodata,109
.rodata.ql_bt_hfp_volume_change_callback.str1.1,rodata,93
.rodata.quec_bt_hfp_answer_reject_call.str1.1,rodata,82
.rodata.quec_bt_hfp_check.str1.1,rodata,170
.rodata.quec_bt_hfp_return.str1.1,rodata,62
.rodata.quec_bt_hfp_vr_en_disable.str1.1,rodata,37
.text.ql_ble_gatt_client_msg_cb,text,4
.text.ql_ble_gatt_client_smp_pair_success_cb,text,28
.text.ql_ble_gatt_client_smp_pair_failed_cb,text,28
.text.ql_ble_gatt_client_scan_timeout_cb,text,28
.text.ql_ble_gatt_client_start,text,56
.text.ql_ble_gatt_client_send_event,text,56
