Setting Name,Uiorder,MVNO Type,MVNO Value,MCC,MNC,Account Type,APN,Access Type,Access Option,Proxy Server IP,Port,User Name,Password,First DNS,Second DNS,Home Page,Auth Type,Reserved,Visible,Roaming,roaming_protocol
EHRPD - VZW Roaming IMS,5,gid,BAE0000000000000,204,4,6,VZWIMS,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
LTE - VZW Roaming CBS,5,gid,BAE0000000000000,204,4,4,VZWAPP,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.vzwreseller.com/servlets/mms,0,2,TRUE,FALSE,2
LTE - VZW Roaming CBS,5,gid,BAE0000000000000,204,4,1,VZWAPP,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.vzwreseller.com/servlets/mms,0,2,TRUE,FALSE,2
EHRPD - VZW Roaming CBS,5,gid,BAE0000000000000,204,4,4,VZWAPP,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.vzwreseller.com/servlets/mms,0,2,TRUE,FALSE,2
EHRPD - VZW Roaming CBS,5,gid,BAE0000000000000,204,4,1,VZWAPP,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.vzwreseller.com/servlets/mms,0,2,TRUE,FALSE,2
CSpire international,5,spn,C Spire,204,4,0,internet.cs4glte.com,1,0,,,Uniroam@inet.cs.com,cs3g,0.0.0.0,0.0.0.0,http://pix.cspire.com,3,2,TRUE,FALSE,0
CSpire international,5,spn,C Spire,204,4,1,internet.cs4glte.com,1,0,,,Uniroam@inet.cs.com,cs3g,0.0.0.0,0.0.0.0,http://pix.cspire.com,3,2,TRUE,FALSE,0
USCCROAMING,5,spn,U.S. Cellular,204,4,1,usccinternet,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc1.uscc.net/mmsc/MMS,0,2,TRUE,FALSE,0
USCCROAMING,5,spn,U.S. Cellular,204,4,0,usccinternet,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc1.uscc.net/mmsc/MMS,0,2,TRUE,FALSE,0
USCCROAMING,5,spn,U.S. Cellular,204,4,7,usccinternet,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc1.uscc.net/mmsc/MMS,0,2,TRUE,FALSE,0
KPN Mobiel Internet,5,,,204,8,0,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
KPN Mobiel Internet,5,,,204,8,7,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
MVNO NL,5,imsi,204080950,204,8,0,internet.mvno.mobi,1,0,,,mvno,mvno,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
MVNO NL,5,imsi,204080950,204,8,7,internet.mvno.mobi,1,0,,,mvno,mvno,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Rabo Mobiel Int.,5,spn,Rabo Mobiel,204,8,0,rabo,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Rabo Mobiel Int.,5,spn,Rabo Mobiel,204,8,7,rabo,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Lebara Internet,5,spn,Lebara,204,8,0,multimedia.lebara.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Lebara Internet,5,spn,Lebara,204,8,7,multimedia.lebara.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
HOT mobile Internet,5,spn,HOT mobile,204,4,0,net.hotm,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
HOT mobile Internet,5,spn,HOT mobile,204,4,7,net.hotm,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
HOT mobile MMS,5,spn,HOT mobile,204,4,1,mms.hotm,1,0,80.246.131.99,80,,,0.0.0.0,0.0.0.0,http://mms.hotmobile.co.il,0,0,TRUE,FALSE,0
CTNET,5,spn,中国电信,204,4,0,ctnet,1,1,,,ctnet@mycdma.cn,vnet.mobi,0.0.0.0,0.0.0.0,,3,2,TRUE,FALSE,0
CTNET,5,spn,中国电信,204,4,7,ctnet,1,1,,,ctnet@mycdma.cn,vnet.mobi,0.0.0.0,0.0.0.0,,3,2,TRUE,FALSE,0
CTNET,5,spn,中国电信,204,4,8,ctnet,1,1,,,ctnet@mycdma.cn,vnet.mobi,0.0.0.0,0.0.0.0,,3,2,TRUE,FALSE,0
lycamobile,5,,,204,9,0,data.lycamobile.nl,1,0,,,lmnl,plus,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
lycamobile,5,,,204,9,7,data.lycamobile.nl,1,0,,,lmnl,plus,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Telfort Internet,5,,,204,12,0,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
Telfort Internet,5,,,204,12,7,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
Lebara Internet,5,spn,Lebara,204,12,0,multimedia.lebara.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Lebara Internet,5,spn,Lebara,204,12,7,multimedia.lebara.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
T-Mobile Internet,5,,,204,16,0,smartsites.t-mobile,1,0,,,,,0.0.0.0,0.0.0.0,,1,2,TRUE,FALSE,0
T-Mobile Internet,5,,,204,16,7,smartsites.t-mobile,1,0,,,,,0.0.0.0,0.0.0.0,,1,2,TRUE,FALSE,0
T-Mobile MMS,5,,,204,16,1,mms,1,0,10.10.10.11,8080,tmobilemms,tmobilemms,0.0.0.0,0.0.0.0,http://t-mobilemms,1,2,TRUE,FALSE,0
Ziggo mobiel internet,5,,,204,18,0,internet.ziggo.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Ziggo mobiel internet,5,,,204,18,7,internet.ziggo.nl,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
T-Mobile Internet,5,,,204,20,0,smartsites.t-mobile,1,0,,,,,0.0.0.0,0.0.0.0,,1,2,TRUE,FALSE,0
T-Mobile Internet,5,,,204,20,7,smartsites.t-mobile,1,0,,,,,0.0.0.0,0.0.0.0,,1,2,TRUE,FALSE,0
T-Mobile MMS,5,,,204,20,1,mms,1,0,10.10.10.11,8080,tmobilemms,tmobilemms,0.0.0.0,0.0.0.0,http://t-mobilemms,1,2,TRUE,FALSE,0
Proximus MMS,5,,,206,1,1,event.proximus.be,1,0,10.55.14.75,8080,mms,mms,0.0.0.0,0.0.0.0,http://mmsc.proximus.be/mms,1,2,TRUE,FALSE,0
Proximus Internet,5,,,206,1,0,internet.proximus.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Proximus Internet,5,,,206,1,7,internet.proximus.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Px MMS,5,gid,4E,206,1,1,event.proximus.be,1,0,10.55.14.75,8080,mms,mms,0.0.0.0,0.0.0.0,http://mmsc.proximus.be/mms,1,0,TRUE,FALSE,0
Px Internet,5,gid,4E,206,1,0,INTERNET.PROXIMUS.BE,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Px Internet,5,gid,4E,206,1,7,INTERNET.PROXIMUS.BE,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Virgin mobile,5,gid,52,206,1,0,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Virgin mobile,5,gid,52,206,1,7,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
VM MMS,5,gid,52,206,1,1,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,http://virginmms.fr,0,0,TRUE,FALSE,0
MMS,5,gid,B6,206,1,1,mms.mobi.eastlink.ca,1,0,10.232.12.49,8080,,,0.0.0.0,0.0.0.0,http://mmss.mobi.eastlink.ca,0,0,TRUE,FALSE,0
Internet,5,gid,B6,206,1,0,wisp.mobi.eastlink.ca,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Internet,5,gid,B6,206,1,7,wisp.mobi.eastlink.ca,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
NRJMMS,5,spn,NRJ Mobile,206,1,1,event.proximus.be,1,0,10.55.14.75,8080,mms,mms,0.0.0.0,0.0.0.0,http://mmsc.proximus.be/mms,0,0,TRUE,FALSE,0
NRJWEB,5,spn,NRJ Mobile,206,1,0,internet.proximus.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
NRJWEB,5,spn,NRJ Mobile,206,1,7,internet.proximus.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
MMS,5,spn,UNEFON,206,1,1,mms.iusacellgsm.mx,1,0,,,mmsiusacellgsm,mmsiusacellgsm,0.0.0.0,0.0.0.0,http://mms.iusacell3g.com/,0,0,TRUE,FALSE,0
Internet,5,spn,UNEFON,206,1,0,web.iusacellgsm.mx,1,0,,,iusacellgsm,iusacellgsm,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
MMS,5,spn,IUSACELL,206,1,1,mms.iusacellgsm.mx,1,0,,,mmsiusacellgsm,mmsiusacellgsm,0.0.0.0,0.0.0.0,http://mms.iusacell3g.com/,0,0,TRUE,FALSE,0
Internet,5,spn,IUSACELL,206,1,0,web.iusacellgsm.mx,1,0,,,iusacellgsm,iusacellgsm,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Telenet Internet,5,,,206,5,0,telenetwap.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Telenet Internet,5,,,206,5,7,telenetwap.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Telenet MMS,5,,,206,5,1,mms.be,1,0,195.130.149.100,80,,,0.0.0.0,0.0.0.0,http://mmsc.telenet.be,0,2,TRUE,FALSE,0
lycamobile,5,,,206,6,0,data.lycamobile.be,1,0,,,lmbe,plus,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
lycamobile,5,,,206,6,7,data.lycamobile.be,1,0,,,lmbe,plus,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
MMS,5,,,206,10,1,mms.be,1,0,212.65.63.143,8080,,,0.0.0.0,0.0.0.0,http://mmsc.mobistar.be,0,0,TRUE,FALSE,0
Mobile Internet,5,,,206,10,0,mworld.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Mobile Internet,5,,,206,10,7,mworld.be,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
BASE WAP,5,,,206,20,0,gprs.base.be,1,0,,,base,base,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
BASE WAP,5,,,206,20,7,gprs.base.be,1,0,,,base,base,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
BASE MMS,5,,,206,20,1,mms.base.be,1,0,217.72.235.1,8080,base,base,0.0.0.0,0.0.0.0,http://mmsc.base.be,1,0,TRUE,FALSE,0
Mobile Internet,5,spn,Mobile Vikings,206,20,0,web.be,1,0,,,web,web,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Mobile Internet,5,spn,Mobile Vikings,206,20,7,web.be,1,0,,,web,web,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
MMS,5,spn,Mobile Vikings,206,20,1,mms.be,1,0,217.72.235.1,8080,mms,mms,0.0.0.0,0.0.0.0,http://mmsc.be,1,0,TRUE,FALSE,0
Orange World,5,,,208,1,0,orange,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Orange World,5,,,208,1,7,orange,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Orange World,5,,,208,1,8,orange,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Orange MMS,5,,,208,1,1,orange.acte,1,0,192.168.10.200,8080,orange,orange,0.0.0.0,0.0.0.0,http://mms.orange.fr,1,0,TRUE,FALSE,0
Orange Entreprises,5,,,208,1,0,orange-mib,1,0,172.16.2.8,8000,orange,orange,0.0.0.0,0.0.0.0,,2,0,TRUE,FALSE,0
Carrefour WAP,5,gid,33,208,1,0,ofnew.fr,1,0,192.168.10.100,8080,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Carrefour WAP,5,gid,33,208,1,7,ofnew.fr,1,0,192.168.10.100,8080,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Carrefour MMS,5,gid,33,208,1,1,orange.acte,1,0,192.168.10.200,8080,orange,orange,0.0.0.0,0.0.0.0,http://mms.orange.fr,1,0,TRUE,FALSE,0
VM WAP,5,gid,52,208,1,0,ofnew.fr,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
VM WAP,5,gid,52,208,1,7,ofnew.fr,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
VM MMS,5,gid,52,208,1,1,orange.acte,1,0,192.168.10.200,8080,orange,orange,0.0.0.0,0.0.0.0,http://mms.orange.fr,1,0,TRUE,FALSE,0
NRJWEB,5,gid,4E,208,1,0,ofnew.fr,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
NRJWEB,5,gid,4E,208,1,7,ofnew.fr,1,0,,,orange,orange,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
NRJMMS,5,gid,4E,208,1,1,orange.acte,1,0,192.168.10.200,8080,orange,orange,0.0.0.0,0.0.0.0,http://mms.orange.fr,1,0,TRUE,FALSE,0
SFR webphone,5,,,208,9,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,9,1,sl2sfr,1,0,10.151.0.1,8080,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,9,7,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,10,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,10,1,sl2sfr,1,0,10.151.0.1,8080,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,10,7,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
SFR webphone,5,,,208,10,8,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
NRJWEB,5,gid,4E,208,10,0,fnetnrj,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
NRJWEB,5,gid,4E,208,10,7,fnetnrj,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
NRJMMS,5,gid,4E,208,10,1,mmsnrj,1,0,10.143.156.5,8080,,,0.0.0.0,0.0.0.0,http://mmsnrj,0,0,TRUE,FALSE,0
Internet RegloMobile,5,spn,LeclercMobile,208,10,0,wap66,1,0,,,,,0.0.0.0,0.0.0.0,http://reglomobile.fr,0,0,TRUE,FALSE,0
Internet RegloMobile,5,spn,LeclercMobile,208,10,7,wap66,1,0,,,,,0.0.0.0,0.0.0.0,http://reglomobile.fr,0,0,TRUE,FALSE,0
MMS RegloMobile,5,spn,LeclercMobile,208,10,1,mms66,1,0,10.143.156.9,8080,,,0.0.0.0,0.0.0.0,http://mms66,0,0,TRUE,FALSE,0
Internet RegloMobile,5,spn,LeclercMobile,208,10,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
Coriolis WAP,5,gid,12,208,10,0,fnetcoriolis,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Coriolis WAP,5,gid,12,208,10,7,fnetcoriolis,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Coriolis MMS,5,gid,12,208,10,1,mmscoriolis,1,0,10.151.0.1,8080,,,0.0.0.0,0.0.0.0,http://mmscoriolis,0,0,TRUE,FALSE,0
InternetCoriolis,5,gid,12,208,10,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
InternetCoriolis,5,gid,12,208,10,7,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
4G La Poste Mobile,5,gid,4C,208,10,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
4G La Poste Mobile,5,gid,4C,208,10,7,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
4G La Poste Mobile,5,gid,4C,208,10,1,sl2sfr,1,0,010.143.156.003,8080,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
WEB La Poste Mobile,5,gid,4C,208,10,0,wapdebitel,1,0,192.168.21.3,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
WEB La Poste Mobile,5,gid,4C,208,10,7,wapdebitel,1,0,192.168.21.3,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
MMS La Poste Mobile,5,gid,4C,208,10,1,mmsdebitel,1,0,10.143.156.3,8080,,,0.0.0.0,0.0.0.0,http://mmsdebitel,0,0,TRUE,FALSE,0
Darty Surf＆Mails,5,gid,44,208,10,0,wap68,1,0,192.168.21.11,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Darty Surf＆Mails,5,gid,44,208,10,7,wap68,1,0,192.168.21.11,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Darty MMS,5,gid,44,208,10,1,mms68,1,0,10.143.156.11,8080,,,0.0.0.0,0.0.0.0,http://mms68/,0,0,TRUE,FALSE,0
Keyyo Mobile Internet,5,spn,Keyyo Mobile,208,10,0,internet68,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Keyyo Mobile Internet,5,spn,Keyyo Mobile,208,10,7,internet68,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Keyyo Mobile MMS,5,spn,Keyyo Mobile,208,10,1,mms68,1,0,10.143.156.11,8080,,,0.0.0.0,0.0.0.0,http://mms68,0,0,TRUE,FALSE,0
Keyyo Mobile Wap,5,spn,Keyyo Mobile,208,10,0,wap68,1,0,192.168.21.11,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Keyyo Mobile Wap,5,spn,Keyyo Mobile,208,10,7,wap68,1,0,192.168.21.11,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Zero forfait,5,spn,ZERO FORFAIT,208,10,0,internet68,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Zero forfait,5,spn,ZERO FORFAIT,208,10,7,internet68,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Zero forfait MMS,5,spn,ZERO FORFAIT,208,10,1,mms68,1,0,10.143.156.11,8080,,,0.0.0.0,0.0.0.0,http://mms68,0,0,TRUE,FALSE,0
Internet Joe,5,gid,53,208,10,0,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
Internet Joe,5,gid,53,208,10,1,sl2sfr,1,0,10.151.0.1,8080,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
Internet Joe,5,gid,53,208,10,7,sl2sfr,1,0,,,,,0.0.0.0,0.0.0.0,http://mms1,0,0,TRUE,FALSE,0
Free,5,,,208,15,0,free,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.free.fr,0,0,TRUE,FALSE,0
Free,5,,,208,15,7,free,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.free.fr,0,0,TRUE,FALSE,0
Free,5,,,208,15,1,free,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.free.fr,0,0,TRUE,FALSE,0
Free MMS,5,,,208,15,1,mmsfree,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.free.fr,0,0,TRUE,FALSE,0
Legos,5,,,208,17,0,bornsip,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Legos,5,,,208,17,7,bornsip,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Legos MMS,5,,,208,17,1,bornsipmms,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.bornsip.fr:8191,0,0,TRUE,FALSE,0
Bouygues Telecom,5,,,208,20,0,mmsbouygtel.com,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.bouyguestelecom.fr/mms/wapenc,1,2,TRUE,FALSE,0
Bouygues Telecom,5,,,208,20,7,mmsbouygtel.com,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.bouyguestelecom.fr/mms/wapenc,1,2,TRUE,FALSE,0
Bouygues Telecom,5,,,208,20,1,mmsbouygtel.com,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.bouyguestelecom.fr/mms/wapenc,1,2,TRUE,FALSE,0
Bouygues Telecom,5,,,208,20,8,mmsbouygtel.com,1,0,,,,,0.0.0.0,0.0.0.0,http://mms.bouyguestelecom.fr/mms/wapenc,1,2,TRUE,FALSE,0
Virgin mobile,5,gid,52,208,23,0,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Virgin mobile,5,gid,52,208,23,7,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
VM MMS,5,gid,52,208,23,1,virgin-mobile.fr,1,0,10.6.10.1,8080,,,0.0.0.0,0.0.0.0,http://virginmms.fr,0,0,TRUE,FALSE,0
Internet móvil,5,,,214,1,0,airtelwap.es,1,0,,,wap@wap,wap125,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Internet móvil,5,,,214,1,7,airtelwap.es,1,0,,,wap@wap,wap125,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
